stop_name,lng,lat
KG TUNKU (UTARA),101.61844,3.09561
KS308 - IJOK (TIMUR),101.43995,3.29679
BD109 - HTAR,101.44188,3.02075
LG216_JP,101.6314182,2.8276817
KJ317 - CHERAS PERDANA 1,101.76865,3.04778
LG150_JP,101.6332025,2.82507
SL317 - KG KERDAS 3,101.71319,3.22161
SJ18 - USJ2,101.57977,3.05949
LG153 - TMN BAKTI SG MANGGIS,101.53297,2.83164
SP323 -,101.62203,2.96311
SJ48_JP,101.5825532,3.0800473
TMN KAYA,101.68061,3.19151
SETIA SKY CONDOMINIUM,101.71118,3.16778
CHERAS LEISURE MALL,101.7411,3.08921
TMN CHERAS,101.74345,3.10296
SUNWAY LAGOON,101.6059,3.07357
KG. TASEK PERMAI (UTARA),101.78091,3.13085
MENARA MPAJ,101.75357,3.12921
BD472 - SRJK(C) PANDAMARAN B,101.4197,3.0106
KJ629 -,101.84453,2.94708
SJ315 - TAMAN MAWAR,101.63225,3.06488
LG94_JP,101.4444072,2.7540429
KASTAM,101.60233,3.09677
KL Sentral,101.686251,3.13441
Kuala Lumpur,101.693889,3.141389
Bank Negara,101.693056,3.154722
Putra,101.691181,3.16523
Segambut,101.663889,3.186389
Kepong,101.637402,3.202809
Kepong Sentral,101.628055,3.208611
Sungai Buloh,101.579722,3.206111
Kuang,101.554722,3.258055
Rawang,101.574722,3.319167
Serendah,101.614444,3.375833
Batang Kali,101.637778,3.468611
Rasa,101.634167,3.5
Kuala Kubu Bharu,101.631378,3.561405
Tanjung Malim,101.51787,3.68494
Midvalley,101.6787,3.11889
Seputeh,101.681551,3.113552
Salak Selatan,101.705278,3.098055
Bdr. Tasik Selatan,101.711029,3.076409
Serdang,101.715835,3.023055
Kajang,101.790684,2.983514
UKM,101.787622,2.939752
Bangi,101.786111,2.904167
Batang Benar,101.826667,2.829722
Nilai,101.800046,2.80267
Labu,101.82675,2.75422
Tiroi,101.871543,2.741373
Seremban,101.940556,2.718611
Senawang,101.972046,2.690291
Sg. Gadut,101.996275,2.660207
Sentul,101.689292,3.183468
Batu Kentonmen,101.681163,3.198246
Kampung Batu,101.67569,3.20444
Taman Wahyu,101.67225,3.214428
Batu Caves,101.681366,3.237726
Angkasapuri,101.6734,3.11286
Pantai Dalam,101.670001,3.095556
Petaling,101.664181,3.086051
Jalan Templer,101.656389,3.083333
Kg.Dato Harun,101.632222,3.084444
Seri Setia,101.621667,3.084444
Setia Jaya,101.611111,3.083056
Subang Jaya,101.587778,3.084444
Batu Tiga,101.559739,3.075892
Shah Alam,101.525278,3.056389
Padang Jawa,101.492499,3.052224
Bukit Badak,101.470231,3.03588
Klang,101.450093,3.042951
Telok Pulai,101.431667,3.04
Telok Gadong,101.425,3.033889
Kg Raja Uda,101.410278,3.020278
Jalan Kastam,101.4025,3.013056
Pel. Klang,101.391345,2.999702
Rembau,102.093565,2.594305
Pulau Sebang/Tampin,102.226955,2.463077
